pmid,pmcid,nihmsid,nctid,pub_title,authors,authors_lnames,authors_initials,authors_affil,pub_date,journal_short,journal_full,pubmed_tags,pmc_status
25436638,4249871,,,Genetic variants associated with serum thyroid stimulating hormone (TSH) levels in European Americans and African Americans from the eMERGE Network.,"Jennifer R Malinowski, Joshua C Denny, Suzette J Bielinski, Melissa A Basford, Yuki Bradford, Peggy L Peissig, David Carrell, David R Crosslin, Jyotishman Pathak, Luke Rasmussen, Jennifer Pacheco, Abel Kho, Katherine M Newton, Rongling Li, Iftikhar J Kullo, Christopher G Chute, Rex L Chisholm, Gail P Jarvik, Eric B Larson, Catherine A McCarty, Daniel R Masys, Dan M Roden, Mariza de Andrade, Marylyn D Ritchie, Dana C Crawford","Malinowski, Denny, Bielinski, Basford, Bradford, Peissig, Carrell, Crosslin, Pathak, Rasmussen, Pacheco, Kho, Newton, Li, Kullo, Chute, Chisholm, Jarvik, Larson, McCarty, Masys, Roden, de Andrade, Ritchie, Crawford","JR, JC, SJ, MA, Y, PL, D, DR, J, L, J, A, KM, R, IJ, CG, RL, GP, EB, CA, DR, DM, M, MD, DC","Center for Human Genetics Research, Vanderbilt University, Nashville, TN, United States of America., Department of Biomedical Informatics, Vanderbilt University, Nashville, TN, United States of America; Department of Medicine, Vanderbilt University, Nashville, TN, United States of America., Division of Epidemiology, Department of Health Sciences Research, Mayo Clinic, Rochester, MN, United States of America., Office of Research, Vanderbilt University, Nashville, TN, United States of America., Center for Human Genetics Research, Vanderbilt University, Nashville, TN, United States of America., Biomedical Informatics Research Center, Marshfield Clinic Research Foundation, Marshfield, WI, United States of America., Group Health Research Institute, Seattle, WA, United States of America., Departments of Medicine (Medical Genetics) and Genome Sciences, University of Washington, Seattle, WA, United States of America., Division of Biomedical Statistics and Informatics, Department of Health Sciences Research, Mayo Clinic, Rochester, MN, United States of America., Biomedical Informatics Research Center, Marshfield Clinic Research Foundation, Marshfield, WI, United States of America., Department of Medicine, Northwestern University, Chicago, IL, United States of America., Department of Medicine, Northwestern University, Chicago, IL, United States of America., Group Health Research Institute, Seattle, WA, United States of America., Division of Genomic Medicine, National Human Genome Research Institute, Bethesda, MD, United States of America., Division of Cardiovascular Diseases, Department of Health Sciences Research, Mayo Clinic, Rochester, MN, United States of America., Division of Biomedical Statistics and Informatics, Department of Health Sciences Research, Mayo Clinic, Rochester, MN, United States of America., Center for Genetic Medicine, Northwestern University, Chicago, IL, United States of America., Departments of Medicine (Medical Genetics) and Genome Sciences, University of Washington, Seattle, WA, United States of America., Group Health Research Institute, Seattle, WA, United States of America., Essentia Institute of Rural Health, Duluth, MN, United States of America., Department of Biomedical Informatics, Vanderbilt University, Nashville, TN, United States of America., Department of Medicine, Vanderbilt University, Nashville, TN, United States of America; Department of Pharmacology, Vanderbilt University, Nashville, TN, United States of America., Division of Biomedical Statistics and Informatics, Department of Health Sciences Research, Mayo Clinic, Rochester, MN, United States of America., Department of Biomedical Informatics, Vanderbilt University, Nashville, TN, United States of America; Department of Molecular Physiology and Biophysics, Vanderbilt University, Nashville, TN, United States of America; Center for Human Genetics Research, Vanderbilt University, Nashville, TN, United States of America., Department of Molecular Physiology and Biophysics, Vanderbilt University, Nashville, TN, United States of America; Center for Human Genetics Research, Vanderbilt University, Nashville, TN, United States of America.",2014-01-01,PLoS ONE,PloS one,UL1 TR000427,1
25401047,4229689,578753,,Soy Infant Formula may be Associated with Autistic Behaviors.,Cara J Westmark,Westmark,CJ,"Department of Neurology, University of Wisconsin, USA.",2013-11-18,Autism Open Access,Autism-open access,"UL1 RR025011, UL1 TR000427",1
20578215,3179281,,,Do proton pump inhibitors decrease calcium absorption?,"Karen E Hansen, Andrea N Jones, Mary J Lindstrom, Lisa A Davis, Toni E Ziegler, Kristina L Penniston, Amy L Alvig, Martin M Shafer","Hansen, Jones, Lindstrom, Davis, Ziegler, Penniston, Alvig, Shafer","KE, AN, MJ, LA, TE, KL, AL, MM","Department of Medicine, University of Wisconsin, Madison, WI, USA. keh@medicine.wisc.edu, , , , , , , ",2010-12-01,J. Bone Miner. Res.,Journal of bone and mineral research : the official journal of the American Society for Bone and Mineral Research,UL1 RR025011,1
21281430,3093768,290344,,Effect of mutant ?-catenin on liver growth homeostasis and hepatocarcinogenesis in transgenic mice.,"Timothy J Stein, Adam Jochem, Katie E Holmes, Eric P Sandgren","Stein, Jochem, Holmes, Sandgren","TJ, A, KE, EP","Department of Medical Sciences, School of Veterinary Medicine, University of Wisconsin-Madison, Madison, WI 53706, USA., , , ",2011-03-01,Liver Int.,Liver international : official journal of the International Association for the Study of the Liver,"UL1 RR025011-01, UL1 RR025011, 1UL1RR025011",1
22683399,3413778,386507,,The impact of family caregivers on potentially inappropriate medication use in noninstitutionalized older adults with dementia.,"Joshua M Thorpe, Carolyn T Thorpe, Korey A Kennelty, Walid F Gellad, Richard Schulz","Thorpe, Thorpe, Kennelty, Gellad, Schulz","JM, CT, KA, WF, R","VA Pittsburgh Healthcare System, Pittsburgh, Pennsylvania, USA. jmthorpe@pitt.edu, , , , ",2012-08-01,Am J Geriatr Pharmacother,The American journal of geriatric pharmacotherapy,"UL1 TR000427, 1UL1 RR025011, UL1 RR025011",1
25564521,4323672,640509,,Expression of anger and ill health in two cultures: an examination of inflammation and cardiovascular risk.,"Shinobu Kitayama, Jiyoung Park, Jennifer Morozink Boylan, Yuri Miyamoto, Cynthia S Levine, Hazel Rose Markus, Mayumi Karasawa, Christopher L Coe, Norito Kawakami, Gayle D Love, Carol D Ryff","Kitayama, Park, Boylan, Miyamoto, Levine, Markus, Karasawa, Coe, Kawakami, Love, Ryff","S, J, JM, Y, CS, HR, M, CL, N, GD, CD","University of Michigan, Ann Arbor kitayama@umich.edu., University of California, San Francisco., University of Pittsburgh., University of Wisconsin-Madison., Northwestern University., Stanford University., Tokyo Woman's Christian University., University of Wisconsin-Madison., University of Tokyo., University of Wisconsin-Madison., University of Wisconsin-Madison.",2015-02-01,Psychol Sci,Psychological science,UL1 TR000427,1
25845705,4481142,669390,,"Measurement of 25-hydroxyvitamin D(2&amp;3) and 1,25-dihydroxyvitamin D(2&amp;3) by tandem mass spectrometry: A primate multispecies comparison.","Toni E Ziegler, Amita Kapoor, Curtis J Hedman, Neil Binkley, Joseph W Kemnitz","Ziegler, Kapoor, Hedman, Binkley, Kemnitz","TE, A, CJ, N, JW","Wisconsin National Primate Research Center, University of Wisconsin, Madison, Wisconsin., Wisconsin National Primate Research Center, University of Wisconsin, Madison, Wisconsin., Wisconsin National Primate Research Center, University of Wisconsin, Madison, Wisconsin., Department of Medicine, University of Wisconsin, Madison, Wisconsin., Wisconsin National Primate Research Center, University of Wisconsin, Madison, Wisconsin.",2015-07-01,Am. J. Primatol.,American journal of primatology,"KL2 RR025012, UL1 TR000427, UL1TR000427",1
21067599,2991303,,,SNP-SNP interactions dominate the genetic architecture of candidate genes associated with left ventricular mass in African-Americans of the GENOA study.,"Kristin J Meyers, Jian Chu, Thomas H Mosley, Sharon L R Kardia","Meyers, Chu, Mosley, Kardia","KJ, J, TH, SL","Department of Population Health Sciences, University of Wisconsin, Madison, Wisconsin, USA., , , ",2010-11-10,BMC Med. Genet.,BMC medical genetics,1UL1RR025011,1
26776191,4824557,742527,,KNOWLEDGE DRIVEN BINNING AND PHEWAS ANALYSIS IN MARSHFIELD PERSONALIZED MEDICINE RESEARCH PROJECT USING BIOBIN.,"Anna O Basile, John R Wallace, Peggy Peissig, Catherine A McCarty, Murray Brilliant, Marylyn D Ritchie","Basile, Wallace, Peissig, McCarty, Brilliant, Ritchie","AO, JR, P, CA, M, MD","Department of Biochemistry, Microbiology and Molecular Biology, The Pennsylvania State University, University Park, PA, USA., , , , , ",2016-01-01,Pac Symp Biocomput,Pacific Symposium on Biocomputing. Pacific Symposium on Biocomputing,UL1 TR000427,1
30917818,6438136,,,A physician-scientist preceptorship in clinical and translational research enhances training and mentorship.,"Jonathan A Stefely, Erin Theisen, Chelsea Hanewall, Linda Scholl, Mark E Burkard, Anna Huttenlocher, John-Paul J Yu","Stefely, Theisen, Hanewall, Scholl, Burkard, Huttenlocher, Yu","JA, E, C, L, ME, A, JJ","Medical Scientist Training Program, School of Medicine and Public Health, University of Wisconsin-Madison, Madison, WI, USA., Medical Scientist Training Program, School of Medicine and Public Health, University of Wisconsin-Madison, Madison, WI, USA., Medical Scientist Training Program, School of Medicine and Public Health, University of Wisconsin-Madison, Madison, WI, USA., Institute for Clinical and Translational Research, School of Medicine and Public Health, University of Wisconsin-Madison, Madison, WI, USA., Medical Scientist Training Program, School of Medicine and Public Health, University of Wisconsin-Madison, Madison, WI, USA., Medical Scientist Training Program, School of Medicine and Public Health, University of Wisconsin-Madison, Madison, WI, USA., Medical Scientist Training Program, School of Medicine and Public Health, University of Wisconsin-Madison, Madison, WI, USA. JPYu@uwhealth.org.",2019-03-27,BMC Med Educ,BMC medical education,"UL1TR002373, UL1 TR002373",1
26200463,4511639,,,Asthma Is More Severe in Older Adults.,"Joe G Zein, Raed A Dweik, Suzy A Comhair, Eugene R Bleecker, Wendy C Moore, Stephen P Peters, William W Busse, Nizar N Jarjour, William J Calhoun, Mario Castro, K Fan Chung, Anne Fitzpatrick, Elliot Israel, W Gerald Teague, Sally E Wenzel, Thomas E Love, Benjamin M Gaston, Serpil C Erzurum, Unknown Unknown","Zein, Dweik, Comhair, Bleecker, Moore, Peters, Busse, Jarjour, Calhoun, Castro, Chung, Fitzpatrick, Israel, Teague, Wenzel, Love, Gaston, Erzurum, Unknown","JG, RA, SA, ER, WC, SP, WW, NN, WJ, M, KF, A, E, WG, SE, TE, BM, SC, Unknown","Respiratory Institute, Cleveland Clinic, Cleveland, Ohio, United States of America., Respiratory Institute, Cleveland Clinic, Cleveland, Ohio, United States of America., Department of Pathobiology, Cleveland Clinic, Cleveland, Ohio, United States of America., Center for Genomics and Personalized Medicine, Wake Forest University School of Medicine, Winston-Salem, North Carolina, United States of America., Center for Genomics and Personalized Medicine, Wake Forest University School of Medicine, Winston-Salem, North Carolina, United States of America., Center for Genomics and Personalized Medicine, Wake Forest University School of Medicine, Winston-Salem, North Carolina, United States of America., Department of Medicine, The University of Wisconsin, School of Medicine and Public Health, Madison, Wisconsin, United States of America., Department of Medicine, The University of Wisconsin, School of Medicine and Public Health, Madison, Wisconsin, United States of America., Department of Medicine, University of Texas Medical Branch, Galveston, Texas, United States of America., Department of Medicine, Washington University School of Medicine, St. Louis, Missouri, United States of America., The National Heart and Lung Institute, Imperial College, London, United Kingdom., Department of Pediatrics, Emory University School of Medicine, Atlanta, Georgia, United States of America., Pulmonary Division, Harvard Medical School, Brigham and Women's Hospital, Boston, Massachussets, United States of America., Department of Pediatrics, University of Virginia School of Medicine, Charlottesville, Virginia, United States of America., Asthma Institute, The University of Pittsburgh, Pittsburgh, Pennsylvania, United States of America., Department of Epidemiology and Biostatistics, Case Western Reserve University-MetroHealth Medical Center, Cleveland, Ohio, United States of America., Department of Pediatric, Rainbow Babies and Children's Hospital, Cleveland, Ohio, United States of America., Respiratory Institute, Cleveland Clinic, Cleveland, Ohio, United States of America; Department of Pathobiology, Cleveland Clinic, Cleveland, Ohio, United States of America., ",2015-01-01,PLoS ONE,PloS one,UL1 TR000427,1
28327377,5496777,861337,,Community-acquired rhinovirus infection is associated with changes in the airway microbiome.,"Kirsten M Kloepfer, Vishal K Sarsani, Valeriy Poroyko, Wai Ming Lee, Tressa E Pappas, Theresa Kang, Kristine A Grindle, Yury A Bochkov, Sarath Chandra Janga, Robert F Lemanske, James E Gern","Kloepfer, Sarsani, Poroyko, Lee, Pappas, Kang, Grindle, Bochkov, Janga, Lemanske, Gern","KM, VK, V, WM, TE, T, KA, YA, SC, RF, JE","Department of Pediatrics, Indiana University School of Medicine, Indianapolis, Ind. Electronic address: kloepfer@iu.edu., Department of Biohealth Informatics, School of Informatics and Computing, Indiana University - Purdue University, Indianapolis, Ind., Department of Pediatrics, University of Chicago, Chicago, Ill., Department of Pediatrics, University of Wisconsin-Madison, Madison, Wis., Department of Pediatrics, University of Wisconsin-Madison, Madison, Wis., Department of Pediatrics, University of Wisconsin-Madison, Madison, Wis., Department of Pediatrics, University of Wisconsin-Madison, Madison, Wis., Department of Pediatrics, University of Wisconsin-Madison, Madison, Wis., Department of Biohealth Informatics, School of Informatics and Computing, Indiana University - Purdue University, Indianapolis, Ind., Department of Pediatrics, University of Wisconsin-Madison, Madison, Wis; Department of Medicine, University of Wisconsin-Madison, Madison, Wis., Department of Pediatrics, University of Wisconsin-Madison, Madison, Wis; Department of Medicine, University of Wisconsin-Madison, Madison, Wis.",2017-07-01,J. Allergy Clin. Immunol.,The Journal of allergy and clinical immunology,UL1 RR025011,1
21146621,3035743,265112,,Predictive markers for AD in a multi-modality framework: an analysis of MCI progression in the ADNI population.,"Chris Hinrichs, Vikas Singh, Guofan Xu, Sterling C Johnson, Unknown Unknown","Hinrichs, Singh, Xu, Johnson, Unknown","C, V, G, SC, Unknown","Department of Computer Sciences, University of Wisconsin-Madison, Madison, WI 53706, USA. hinrichs@cs.wisc.edu, , , , ",2011-03-15,Neuroimage,NeuroImage,"UL1 RR025011-01, UL1 RR025011, 1UL1RR025011",1
20347732,2887484,203439,,Developing a practice-based learning and improvement curriculum for an academic general surgery residency.,"Erin S O'Connor, David M Mahvi, Eugene F Foley, Dennis Lund, Robert McDonald","O'Connor, Mahvi, Foley, Lund, McDonald","ES, DM, EF, D, R","Department of Surgery, University of Wisconsin School of Medicine and Public Health, Madison, WI, USA. eoconnor@uwhealth.org, , , , ",2010-04-01,J. Am. Coll. Surg.,Journal of the American College of Surgeons,"UL1 RR025011, UL1 RR025011-01, 1UL1RR025011",1
23792636,3742497,,,Paxillin mutations affect focal adhesions and lead to altered mitochondrial dynamics: relevance to lung cancer.,"Ichiro Kawada, Rifat Hasina, Frances E Lennon, Vytautas P Bindokas, Peter Usatyuk, Yi-Hung C Tan, Soundararajan Krishnaswamy, Qudsia Arif, George Carey, Robyn D Hseu, Matthew Robinson, Maria Tretiakova, Toni M Brand, Mari Iida, Mark K Ferguson, Deric L Wheeler, Aliya N Husain, Viswanathan Natarajan, Everett E Vokes, Patrick A Singleton, Ravi Salgia","Kawada, Hasina, Lennon, Bindokas, Usatyuk, Tan, Krishnaswamy, Arif, Carey, Hseu, Robinson, Tretiakova, Brand, Iida, Ferguson, Wheeler, Husain, Natarajan, Vokes, Singleton, Salgia","I, R, FE, VP, P, YH, S, Q, G, RD, M, M, TM, M, MK, DL, AN, V, EE, PA, R","Department of Medicine, University of Chicago, Chicago, IL, USA., , , , , , , , , , , , , , , , , , , , ",2013-07-01,Cancer Biol. Ther.,Cancer biology &amp; therapy,"UL1 TR000427, UL1TR000427",1
25746451,4398338,669887,,Hippocampal increase of 5-hmC in the glucocorticoid receptor gene following acute stress.,"Sisi Li, Ligia A Papale, Douglas B Kintner, Grzegorz Sabat, Gregory A Barrett-Wilt, Pelin Cengiz, Reid S Alisch","Li, Papale, Kintner, Sabat, Barrett-Wilt, Cengiz, Alisch","S, LA, DB, G, GA, P, RS","Neuroscience training program, Departments of, University of Wisconsin, Madison, WI, USA., Department of Psychiatry, University of Wisconsin, Madison, WI, USA., Department of Pediatrics, University of Wisconsin, Madison, WI, USA., Biotechnology Center, University of Wisconsin, Madison, WI, USA., Biotechnology Center, University of Wisconsin, Madison, WI, USA., Department of Pediatrics, University of Wisconsin, Madison, WI, USA., Department of Psychiatry, University of Wisconsin, Madison, WI, USA.",2015-06-01,Behav. Brain Res.,Behavioural brain research,"UL1 TR000427, UL1TR000427, KL2 TR000428",1
27421304,5014630,804541,,Analysis of Cancer-Targeting Alkylphosphocholine Analogue Permeability Characteristics Using a Human Induced Pluripotent Stem Cell Blood-Brain Barrier Model.,"Paul A Clark, Abraham J Al-Ahmad, Tongcheng Qian, Ray R Zhang, Hannah K Wilson, Jamey P Weichert, Sean P Palecek, John S Kuo, Eric V Shusta","Clark, Al-Ahmad, Qian, Zhang, Wilson, Weichert, Palecek, Kuo, Shusta","PA, AJ, T, RR, HK, JP, SP, JS, EV",", Department of Pharmaceutical Sciences, Texas Tech University Health Sciences Center-School of Pharmacy , Amarillo, Texas 79106, United States., , , , Cellectar Biosciences , Madison, Wisconsin 53716, United States., , , ",2016-09-06,Mol. Pharm.,Molecular pharmaceutics,UL1 TR000427,1
21248233,3042638,,,"Quantification of hepatic steatosis with T1-independent, T2-corrected MR imaging with spectral modeling of fat: blinded comparison with MR spectroscopy.","Sina Meisamy, Catherine D G Hines, Gavin Hamilton, Claude B Sirlin, Charles A McKenzie, Huanzhou Yu, Jean H Brittain, Scott B Reeder","Meisamy, Hines, Hamilton, Sirlin, McKenzie, Yu, Brittain, Reeder","S, CD, G, CB, CA, H, JH, SB","Liver Imaging Research Program, Department of Radiology, University of Wisconsin, 600 Highland Ave, E3/311 CSC, Madison, WI 53792-3252, USA. sreeder@wisc.edu, , , , , , , ",2011-03-01,Radiology,Radiology,"UL1 RR025011, 1UL1RR025011",1
29527423,5844486,903636,,Tailored Explanation: A Strategy to Minimize Nonresponse in Demographic Items Among Low-income Racial and Ethnic Minorities.,"Maichou Lor, Barbara J Bowers, Anna Krupp, Nora Jacobson","Lor, Bowers, Krupp, Jacobson","M, BJ, A, N","University of Wisconsin-Madison, School of Nursing., University of Wisconsin-Madison, School of Nursing., University of Wisconsin-Madison, School of Nursing., University of Wisconsin-Madison, School of Nursing.",2017-06-01,Surv Pract,Survey practice,UL1 TR000427,1
